,Unnamed: 0,cluster_id,country,svy_yr_ed,nmothers,lat,lon,pct_no_education,pct_primary_education,pct_secondary_education,pct_higher_education,imr,yrgroup_imr,id
85,259,AM2015_54,Armenia,2015,13,40.284341395300004,44.3553314419,0.0,0.0,0.4615384615384621,0.538461538461538,0.0,2011-2015,259
86,9,AM2015_107,Armenia,2015,18,40.0757388211,44.032438502,0.0,0.38888888888888895,0.38888888888888895,0.222222222222222,0.0,2011-2015,9
87,83,AM2015_176,Armenia,2015,12,40.763802417,44.143641296800006,0.0,0.166666666666667,0.666666666666667,0.166666666666667,0.0,2011-2015,83
88,54,AM2015_148,Armenia,2015,15,40.4882121998,44.9189117336,0.0,0.0,0.733333333333333,0.266666666666667,0.0,2011-2015,54
89,105,AM2015_198,Armenia,2015,14,40.2677412046,44.6383339815,0.0,0.14285714285714302,0.214285714285714,0.6428571428571429,0.0,2011-2015,105
90,231,AM2015_310,Armenia,2015,11,40.8562914433,45.3686727051,0.0,0.0,0.0909090909090909,0.9090909090909092,0.14285714285714302,2011-2015,231
91,135,AM2015_224,Armenia,2015,15,40.8138510781,43.8351962329,0.0,0.0,0.266666666666667,0.733333333333333,0.0,2011-2015,135
92,74,AM2015_167,Armenia,2015,4,40.7603543519,44.5192595866,0.0,0.0,1.0,0.0,0.0,2011-2015,74
93,169,AM2015_255,Armenia,2015,7,39.4909488977,46.3431938798,0.0,0.0,0.7142857142857142,0.28571428571428603,0.0,2011-2015,169
94,131,AM2015_220,Armenia,2015,12,40.8018342763,43.819422788100006,0.0,0.0,0.33333333333333304,0.666666666666667,0.2,2011-2015,131
95,128,AM2015_218,Armenia,2015,6,40.796832866100004,43.8464285162,0.0,0.0,0.166666666666667,0.833333333333333,0.0,2011-2015,128
96,171,AM2015_257,Armenia,2015,11,39.5220799381,46.4341736179,0.0,0.0909090909090909,0.6363636363636359,0.272727272727273,0.0,2011-2015,171
97,266,AM2015_60,Armenia,2015,11,40.249675039,44.350485580699996,0.0,0.0,0.36363636363636404,0.6363636363636359,0.0,2011-2015,266
98,219,AM2015_30,Armenia,2015,12,40.191798910799996,44.4684535262,0.0,0.0833333333333333,0.33333333333333304,0.583333333333333,0.0,2011-2015,219
99,92,AM2015_186,Armenia,2015,22,40.481709360500005,44.7596622518,0.0,0.0,0.31818181818181795,0.681818181818182,0.0,2011-2015,92
100,242,AM2015_39,Armenia,2015,14,40.093143011900004,44.5546311658,0.0,0.0,0.5,0.5,0.0,2011-2015,242
101,282,AM2015_77,Armenia,2015,15,39.9695803749,44.6438702874,0.0,0.0666666666666667,0.5333333333333329,0.4,0.0,2011-2015,282
102,101,AM2015_194,Armenia,2015,24,40.4009993218,44.6214254516,0.0,0.166666666666667,0.4166666666666671,0.4166666666666671,0.0,2011-2015,101
